no.,name,ra,dec,class,visual_flag,visual_class
388,3C 446,336.44691,-4.95039,COMPACT,0,
389,PHL 5225,337.41702,-8.54845,COMPACT,0,
390,CTD 135,339.0936,28.4826,COMPACT,0,
391,OY -156,339.14203,-14.55616,COMPACT,0,
392,TXS 2241+406,341.05305,40.95378,COMPACT,0,
393,PKS 2243-123,341.57599,-12.11425,COMPACT,0,
394,PMN J2250-2806,342.68538,-28.11092,COMPACT,0,
395,PKS 2254+074,344.3221,7.72008,COMPACT,0,
396,PKS 2255-282,344.52485,-27.97257,COMPACT,0,
397,PKS B2258-022,345.28324,-1.96794,COMPACT,0,
398,B2 2308+34,347.7722,34.4197,COMPACT,0,
399,B2 2319+31,350.47898,32.06878,COMPACT,0,
400,PKS 2320-035,350.88316,-3.28471,COMPACT,0,
401,OZ 042,351.88992,9.6693,COMPACT,0,
402,PMN J2331-2148,352.76679,-21.80428,COMPACT,0,
403,TXS 2331+073,353.55345,7.60765,COMPACT,0,
404,PMN J2345-1555,356.30193,-15.91884,COMPACT,0,
405,1ES 2344+514,356.77015,51.70497,COMPACT,0,
406,PKS 2345-16,357.01087,-16.52001,COMPACT_D,0,
407,4C +45.51,358.59033,45.88451,COMPACT,0,
408,S5 2353+81,359.09497,81.88118,COMPACT,0,
409,PKS 2356+196,359.69202,19.92231,COMPACT,0,
