no.,name,ra,dec,class,visual_flag,visual_class
183,J011540.50+035643.29,18.91875,3.945358333,COMPACT,0,
184,J011546.14+251953.39,18.94225,25.33149722,COMPACT,0,
185,J011546.42-304919.09,18.94341667,-30.82196944,COMPACT_D,0,
186,J011612.52-113615.40,19.05216667,-11.60427778,COMPACT_D,0,
187,J011725.20+141812.38,19.355,14.30343889,COMPACT,0,
188,J011744.59-335705.00,19.43579167,-33.95138889,COMPACT_D,0,
189,J011746.99-244333.70,19.44579167,-24.72602778,COMPACT,0,
190,J011748.78-211106.68,19.45325,-21.18518889,COMPACT,0,
191,J011857.25-214130.08,19.73854167,-21.69168889,COMPACT_D,0,
192,J012031.66-270124.70,20.13191667,-27.02352778,COMPACT_D,0,
193,J012100.73-280622.10,20.25304167,-28.10613889,COMPACT_D,0,
194,J012128.99+112700.50,20.37079167,11.45013889,COMPACT,0,
195,J012141.56+114950.59,20.42316667,11.83071944,COMPACT,0,
196,J012156.86+042224.70,20.48691667,4.373527778,2-SIDE EXTENDED,1,
197,J012201.91+031002.49,20.50795833,3.167358333,COMPACT,0,
198,J012227.37+151023.08,20.61404167,15.17307778,COMPACT,0,
199,J012238.81+250231.81,20.66170833,25.04216944,COMPACT_D,0,
200,J012248.06-093547.00,20.70025,-9.596388889,COMPACT,0,
201,J012308.63+342048.51,20.78595833,34.34680833,COMPACT,0,
202,J012340.49+421006.81,20.91870833,42.16855833,COMPACT,0,
203,J012343.03+261522.39,20.92929167,26.25621944,COMPACT,0,
204,J012430.55+324946.30,21.12729167,32.82952778,COMPACT,0,
205,J012444.52+091849.28,21.1855,9.313688889,COMPACT,0,
206,J012450.47-062500.91,21.21029167,-6.416919444,COMPACT,0,
207,J012455.87+280511.40,21.23279167,28.0865,1-SIDE SEPARATED,0,
208,J012505.50+014626.90,21.27291667,1.774138889,COMPACT_D,0,
209,J012518.83-254904.40,21.32845833,-25.81788889,COMPACT_D,0,
210,J012528.84-000555.89,21.37016667,-0.09885833333,COMPACT_D,0,
211,J012642.78+255901.21,21.67825,25.98366944,COMPACT_D,0,
212,J012657.23+330730.28,21.73845833,33.12507778,COMPACT,0,
213,J012711.06-015153.78,21.79608333,-1.864938889,COMPACT,0,
214,J012716.31-082128.90,21.81795833,-8.358027778,COMPACT,0,
215,J012750.82-001346.59,21.96175,-0.2296083333,COMPACT,0,
216,J012808.05+490105.98,22.03354167,49.01832778,COMPACT_D,0,
217,J012841.33+443918.00,22.17220833,44.655,COMPACT,0,
218,J013008.89-101907.71,22.53704167,-10.31880833,2-SIDE EXTENDED,1,
219,J013027.64+084246.18,22.61516667,8.712827778,COMPACT,0,
220,J013107.23+612033.39,22.780125,61.34260833,COMPACT,0,
221,J013126.70+383439.21,22.86125,38.57755833,COMPACT,0,
222,J013243.47-165448.38,23.181125,-16.91343889,COMPACT_D,0,
223,J013428.19+263842.90,23.61745833,26.64525,COMPACT,0,
224,J013432.03-384333.38,23.63345833,-38.72593889,COMPACT_D,0,
225,J013632.58+390559.20,24.13575,39.09977778,COMPACT,0,
226,J013658.59+475129.08,24.244125,47.85807778,COMPACT,0,
227,J013708.72+312235.79,24.28633333,31.37660833,COMPACT_D,0,
228,J013738.34-243053.89,24.40975,-24.51496944,COMPACT_D,0,
229,J013750.46+581411.29,24.46025,58.23646944,COMPACT,0,
230,J013809.82-271127.88,24.54091667,-27.19107778,COMPACT_D,0,
231,J013811.69-175413.60,24.54870833,-17.90377778,COMPACT,0,
232,J013851.84-054008.18,24.716,-5.668938889,COMPACT_D,0,
233,J014004.43-153255.71,25.01845833,-15.54880833,COMPACT_D,0,
234,J014040.86-075849.11,25.17025,-7.980308333,COMPACT,0,
235,J014125.82-092843.71,25.35758333,-9.478808333,2-SIDE EXTENDED,1,
236,J014133.78-020221.51,25.39075,-2.039308333,COMPACT,0,
237,J014157.75+392329.18,25.490625,39.39143889,COMPACT,0,
238,J014238.87-054401.28,25.66195833,-5.733688889,1-SIDE SEPARATED,0,
239,J014303.17+412920.39,25.76320833,41.48899722,1-SIDE EXTENDED,0,
240,J014310.13-320056.69,25.79220833,-32.01574722,COMPACT,0,
241,J014433.54+270503.08,26.13975,27.08418889,COMPACT_D,0,
242,J014503.39-273334.30,26.264125,-27.55952778,COMPACT_D,0,
243,J014616.20-055110.58,26.5675,-5.852938889,1-SIDE SEPARATED,0,
244,J014640.27-272740.21,26.66779167,-27.46116944,COMPACT,0,
245,J014824.37+385405.18,27.10154167,38.90143889,COMPACT_D,0,
246,J014829.70+140217.98,27.12375,14.03832778,COMPACT,0,
247,J014833.78+012901.28,27.14075,1.483688889,COMPACT,0,
248,J014844.57+421519.40,27.18570833,42.25538889,COMPACT,0,
249,J014922.37+055553.61,27.34320833,5.931558333,COMPACT_D,0,
250,J014949.72+185720.59,27.45716667,18.95571944,COMPACT_D,0,
251,J015123.48-343513.88,27.84783333,-34.58718889,COMPACT,0,
252,J015127.14+274441.78,27.86308333,27.74493889,COMPACT_D,0,
253,J015218.06+220707.71,28.07525,22.11880833,COMPACT_D,0,
254,J015231.99-141239.38,28.13329167,-14.21093889,COMPACT,0,
255,J015233.68-294247.91,28.14033333,-29.71330833,COMPACT_D,0,
256,J015239.59+014717.19,28.16495833,1.788108333,COMPACT,0,
257,J015307.36+751742.79,28.28066667,75.29521944,COMPACT,0,
258,J015310.12-331025.89,28.29216667,-33.17385833,COMPACT_D,0,
259,J015325.85+711506.51,28.35770833,71.25180833,1-SIDE SEPARATED,0,
260,J015334.32-011808.38,28.393,-1.302327778,1-SIDE SEPARATED,0,
261,J015402.76+082351.10,28.5115,8.397527778,COMPACT,0,
262,J015429.34-134635.50,28.62225,-13.77652778,COMPACT,0,
263,J015454.46+443337.90,28.72691667,44.56052778,COMPACT,0,
264,J015456.28+474326.50,28.7345,47.72402778,COMPACT_D,0,
265,J015503.72+043830.30,28.7655,4.64175,COMPACT,0,
266,J015558.93+223011.91,28.99554167,22.50330833,COMPACT,0,
267,J015734.96+744243.20,29.39566667,74.712,COMPACT_D,0,
268,J015838.11-393203.80,29.65879167,-39.53438889,COMPACT_D,0,
